source	target
The well will be drilled in the south-eastern part of the licence, which is located in the central North Sea.	Brønnen skal borast i den søraustlege delen av løyvet, som ligg i midtre del av Nordsjøen.
The test proved oil reservoirs with good flow properties.	Testen viste oljereservoarer med gode strømningsegenskaper.
During the course of two weeks, geological material was acquired from five locations in the steep underwater cliffs on the Jan Mayen Ridge, both on the Norwegian and Icelandic sides.	I løpet av to uker ble det samlet inn geologisk materiale fra fem lokasjoner i de stupbratte undersjøiske fjellskrentene på Jan Mayenryggen, både på norsk og islandsk side.
Exploitation of infrastructure	Utnyttelse av infrastruktur
Production licence 326 was awarded in the 18th licensing round in 2004.	Utvinningstillatelse 326 ble tildelt i 18. konsesjonsrunde i 2004.
The licensees are planning to develop the discovery with a platform for production and processing of oil and gas.	Rettshavarane planlegg å bygge ut funnet med ei plattform for produksjon og prosessering av olje og gass.
Data acquisition and sampling were carried out.	Det ble utført datainnsamling og prøvetaking.
See Guidelines 2 regarding content of company information.	Se veiledning 2 for hva selskapsinformasjonen skal inkludere.
The drilling programme for well 16/4-10 relates to drilling of a wildcat well in production licence 544.	Boreprogrammet for brønn 16/4-10 gjeld boring av undersøkingsbrønn i utvinningsløyve 544.
The production licence consists of the blocks/part of blocks 7220/6, 7220/9, 7220/11, 7220/12 and 7221/4.	Utvinningsløyvet består av blokkene/del av blokkene 7220/6, 7220/9, 7220/11, 7220/12 og 7221/4.
The average daily production was about 2 962 000 barrels oil, about 202 000 barrels NGL and about 197 000 barrels condensate.	Gjennomsnittleg dagsproduksjon i desember var om lag 2 962 000 fat stabilisert olje, om lag 202 000 fat NGL og om lag 197 000 fat kondensat.
WPC – World Petroleum Congress - is often referred to as the Olympics of the petroleum industry.	WPC (World petroleum Congress) omtales ofte som petroleumsnæringens olympiade.
It is possible to store approx. 70 million tonnes (Mt) of CO2 in structures with proven non-viable hydrocarbons.	Det er vurdert at det kan lagres 70 millioner tonn (Mt) CO2 på strukturer der det er påvist at det ikke er produserbare hydrokarboner.
Halland went through what the authorities and companies need to have in place to start with CO2 storage.	Halland gjennomgikk hva som må være på plass fra myndighetens og selskapenes sidefor å kunne starte med lagring av CO2.
There are also traces of petroleum in sandstones in the Lista formation from the Palaeocene Age.	I tillegg er det spor av petroleum i sandsteiner i Listaformasjonen av paleocen alder.
Annual report 1993	Årsberetning 1993
The applications that are found to be relevant to the shelf (the seabed or subsurface) are then forwarded to the NPD for processing.	De søknadene som vurderes til å omhandle sokkelen (havbunnen eller undergrunnen) sendes så videre til OD for behandling.
In APA 2009, the authorities received applications from 44 companies for an area totalling 55,319 km2.	I TFO 2009 mottok myndigheitene søknadar frå 44 selskap til eit areal på 55.319 km2.
